Année,,Référence,Solution,Durée de la relation (en mois),Durée du préavis,Durée raisonnable
2015,,,Insuffisant,72,,8
2015,,,Insuffisant,84,,7
2015,,,Insuffisant,144,6,12
2015,,,Insuffisant,216,,12
2015,,,Insuffisant,168,,4
2015,,,Insuffisant,144,1,9
2015,,,Insuffisant,228,7,12
2015,,,Insuffisant,228,10,12
2015,,,Insuffisant,240,8,12
2015,,,Insuffisant,120,,8
2015,,,Insuffisant,204,,12
2015,,,Insuffisant,156,,12
2015,,,Insuffisant,144,,6
2015,,,Insuffisant,120,,3
2015,,,Insuffisant,156,,6
2015,,,Insuffisant,228,4,6
2015,,,Insuffisant,204,,6
2015,,,Insuffisant,168,,12
2015,,,Insuffisant,168,,6
2015,,,Insuffisant,216,,6
2015,,,Insuffisant,206,,12
2015,,,Insuffisant,132,,7
2015,,,Insuffisant,828,15.5,46
2015,,,Insuffisant,324,,12
2015,,,Insuffisant,528,,36
2015,,,Insuffisant,240,,22
2015,,,Insuffisant,240,,3
2015,,,Insuffisant,264,,6
2015,,,Insuffisant,300,,12
2015,,,Insuffisant,420,12,24
2015,,,Insuffisant,360,5,12
2015,,,Insuffisant,408,,12
2015,,,Insuffisant,264,6,24
2014,,,Suffisant,24,,1.5
2014,,,Suffisant,66,,4
2014,,,Suffisant,36,,6
2014,,,Suffisant,18,,2
2014,,,Suffisant,36,,3
2014,,,Suffisant,24,,4
2014,,,Suffisant,16,,1
2014,,,Suffisant,6,,1
2014,,,Suffisant,36,,6
2014,,,Suffisant,60,,6
2014,,,Suffisant,30,,6
2014,,,Suffisant,21,,3
2014,,,Suffisant,60,,6
2014,,,Suffisant,108,,2.5
2014,,,Suffisant,66,,4
2014,,,Suffisant,60,,6
2014,,,Suffisant,84,,4.5
2014,,,Suffisant,120,,6
2014,,,Suffisant,72,,5
2014,,,Suffisant,72,,1.4
2014,,,Suffisant,156,,12
2014,,,Suffisant,204,,15
2014,,,Suffisant,192,,15
2014,,,Suffisant,120,,2.5
2014,,,Suffisant,168,,10
2014,,,Suffisant,156,,4.5
2014,,,Suffisant,144,,15
2014,,,Suffisant,144,,9
2014,,,Suffisant,480,,46
2014,,,Suffisant,720,,26
2014,,,Suffisant,276,,6
2014,,,Insuffisant,25,,3
2014,,,Insuffisant,24,,3
2014,,,Insuffisant,18,,2
2014,,,Insuffisant,22,,2
2014,,,Insuffisant,14,,1
2014,,,Insuffisant,28,,4
2014,,,Insuffisant,52,,4
2014,,,Insuffisant,52,,6
2014,,,Insuffisant,15,,1
2014,,,Insuffisant,36,,2
2014,,,Insuffisant,48,,3
2014,,,Insuffisant,48,,6
2014,,,Insuffisant,12,,1
2014,,,Insuffisant,36,,1
2014,,,Insuffisant,51,,6
2014,,,Insuffisant,54,,4
2014,,,Insuffisant,36,,3
2014,,,Insuffisant,54,,5
2014,,,Insuffisant,24,,6
2014,,,Insuffisant,48,,6
2014,,,Insuffisant,30,,9
2014,,,Insuffisant,24,,2
2014,,,Insuffisant,120,,3
2014,,,Insuffisant,78,,6
2014,,,Insuffisant,60,,12
2014,,,Insuffisant,108,,12
2014,,,Insuffisant,84,,6
2014,,,Insuffisant,120,,2
2014,,,Insuffisant,60,,5
2014,,,Insuffisant,108,,9
